BENE_GEO_DESC,TOT_MDCR_STDZD_PYMT_PC,TOT_MDCR_PYMT_PC,BENE_AVG_RISK_SCRE,IP_CVRD_STAYS_PER_1000_BENES,ER_VISITS_PER_1000_BENES,MA_PRTCPTN_RATE,BENE_DUAL_PCT,BENES_TOTAL_CNT,BENES_FFS_CNT
AK,0.3823240795932866,0.6145843612935756,0.21494708994709022,0.2855278209603145,0.3652184634882869,0.0,0.46253462267359924,0.0012859648101501153,0.0020860306556368035
AL,0.7454678357146095,0.5193228557690416,0.462962962962963,0.7399511574726623,0.4898036351741999,0.4406678835685648,0.1413091015112493,0.016766010537810624,0.016751832921485264
AR,0.6505870901801659,0.4533072347896724,0.376984126984127,0.6750419651620734,0.4603653265486032,0.30868020470028357,0.22414840371252243,0.010121899791319182,0.012500775640824633
AZ,0.6262606337111786,0.5824938551656681,0.42460317460317487,0.47797295861623246,0.3188069914209086,0.51589442289514,0.019680256572233823,0.020880226459910233,0.01939050564643576
CA,0.7155502682651019,0.9511249874937434,0.5681216931216935,0.5739464139458395,0.4058848989252586,0.4669521496789334,0.6292579814373876,0.10160220910863359,0.08514691372282186
CO,0.5409280669118063,0.4974968217888044,0.3108465608465609,0.3804921815097526,0.42761873233817727,0.4415520388539391,0.24116818115554695,0.014328510010093295,0.013040371818119937
CT,0.7830170030108033,0.9195781468242109,0.5806878306878309,0.8143826053610601,0.7223911086239745,0.38741076958179865,0.6524976918217601,0.010813607247015794,0.01044571793153269
DC,0.8391253754093279,0.9999999999999999,0.8187830687830691,1.0,1.0,0.21339515629583755,0.9999999999999999,0.0012040933942327092,0.0012647479041976721
DE,0.7335276192987751,0.7407770898936813,0.5092592592592593,0.6698759537913384,0.47812766718808986,0.1723532383715245,0.18927061567617465,0.0030358085530822155,0.00432290146349041
FL,0.9559527215990097,0.8326778209225004,0.6805555555555556,0.9657994105138863,0.5396744785508838,0.5144113237067701,0.17822780504397695,0.07338852216745964,0.06582880971786388
GA,0.7765391253074417,0.6397098031345666,0.5866402116402119,0.694676543334724,0.5444847323103501,0.43983262166302683,0.15039603479274988,0.027641728663041775,0.026913688830491694
HI,0.4027739836519345,0.5150902165144639,0.5925925925925926,0.15193458650575142,0.2842519731831912,0.561316372763128,0.033966665046892386,0.004125821936303906,0.0027653416061556354
